1	TDSC	IEEE Transactions on Dependable and Secure Computing	IEEE	http://dblp.uni-trier.de/db/journals/tdsc/
2	TIFS	IEEE Transactions on Information Forensics and Security	IEEE	http://dblp.uni-trier.de/db/journals/tifs/
3		Journal of Cryptology	Springer	http://dblp.uni-trier.de/db/journals/joc/
