1	CLSR	Computer Law and Security Review	Elsevier	http://www.journals.elsevier.com/computer-law-and-security-review/
2		EURASIP Journal on Information Security	Springer	http://dblp.uni-trier.de/db/journals/ejisec/
3		IET Information Security	IET	http://dblp.uni-trier.de/db/journals/iet-ifs/
4	IMCS	Information Management & Computer Security	Emerald	http://dblp.uni-trier.de/db/journals/imcs/
5	IJICS	International Journal of Information and Computer Security	Inderscience	http://dblp.uni-trier.de/db/journals/ijics/
6	IJISP	International Journal of Information Security and Privacy	Idea Group Inc	http://dblp.uni-trier.de/db/journals/ijisp/
7	JISA	Journal of Information Security and Application	Elsevier	https://dblp.uni-trier.de/db/journals/istr/
8	SCN	Security and Communication Networks	Wiley	http://dblp.uni-trier.de/db/journals/scn/
