1	SIGMOD	ACM Conference on Management of Data	ACM	http://dblp.uni-trier.de/db/conf/sigmod/
2	SIGKDD	ACM Knowledge Discovery and Data Mining	ACM	http://dblp.uni-trier.de/db/conf/kdd/
3	ICDE	IEEE International Conference on Data Engineering	IEEE	http://dblp.uni-trier.de/db/conf/icde/
4	SIGIR	International Conference on Research on Development in Information Retrieval	ACM	http://dblp.uni-trier.de/db/conf/sigir/
5	VLDB	International Conference on Very Large Data Bases	Morgan Kaufmann/ACM	http://dblp.uni-trier.de/db/conf/vldb/
