1	CogSci	Cognitive Science Society Annual Conference	Psychology Press	https://dblp.uni-trier.de/db/conf/cogsci/
2	BIBM	IEEE International Conference on Bioinformatics and Biomedicine	IEEE	http://dblp.uni-trier.de/db/conf/bibm/
3	EMSOFT	International Conference on Embedded Software	ACM/IEEE/IFIP	http://dblp.uni-trier.de/db/conf/emsoft/
4	ISMB	International conference on Intelligent Systems for Molecular Biology	Oxford Journals	http://www.iscb.org/about-ismb
5	RECOMB	International Conference on Research in Computational Molecular Biology	Springer	http://dblp.uni-trier.de/db/conf/recomb/
